Sampling Location,Sample Date,Top Sample Temperature (ºC),Winkler Method Top Dissolved Oxygen (mg/L),Top Salinity  (psu),Top PH,Secchi Depth (ft),Top Active Chlorophyll 'A' (µg/L),Total Phosphorus(mg/L),Top Ammonium (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Top Nitrate/Nitrite (mg/L)
N16,2007-07-10,18.32,7.25,30.48,7.8,9.0,3.9,0.07,0.072,1.27,0.028
N16,2007-07-17,20.54,8.59,31.33,8.08,10.5,2.0,0.044,0.008,0.506,0.003
N16,2007-07-25,21.63,5.73,29.19,7.5,16.5,2.3,0.112,0.262,0.696,0.083
N16,2007-07-31,22.09,7.5,30.88,7.88,13.0,0.8,0.039,0.048,0.5,0.006
N16,2007-08-14,22.11,6.94,30.71,7.84,14.0,2.4,0.059,0.094,0.66,0.011
N16,2007-08-28,20.83,,30.59,7.88,12.0,0.8,0.038,0.033,0.372,0.013
N16,2007-09-05,20.89,6.65,30.67,7.7,12.0,0.8,0.07,0.108,0.505,0.042
N16,2007-09-19,,8.74,,7.95,8.0,3.3,0.05,0.026,0.58,0.011
N16,2007-09-25,,7.24,,7.82,17.0,0.9,0.074,0.139,0.58,0.051
N16,2008-06-03,11.79,8.97,31.26,7.85,8.5,1.2,0.04,0.03,0.033,0.016
N16,2008-06-10,15.6,10.04,30.88,7.73,11.5,1.6,0.036,0.01,0.527,0.01
N16,2008-06-18,18.67,8.68,30.83,7.77,14.0,1.2,0.041,0.03,0.299,0.01
N16,2008-06-24,18.55,11.4,30.07,7.66,10.0,4.7,0.049,0.01,0.86,0.01
N16,2008-07-08,21.38,8.83,30.61,8.13,11.0,4.4,0.037,0.02,1.85,0.01
N16,2008-07-15,19.98,8.39,29.92,8.01,6.0,21.828,0.094,0.049,1.34,0.028
N16,2008-07-22,18.08,8.2,30.55,7.83,8.0,6.446,0.068,0.01,1.38,0.01
N16,2008-07-29,22.72,6.15,28.88,7.76,7.0,2.208,0.144,0.224,0.89,0.051
N16,2008-08-05,21.58,9.42,30.2,7.88,6.5,4.909,0.044,0.01,0.951,0.01
N16,2008-08-12,21.53,8.14,29.22,7.73,11.0,1.664,0.117,0.116,1.44,0.039
N16,2008-08-19,18.82,7.58,30.9,7.72,14.0,2.113,0.062,0.047,1.9,0.017
N16,2008-08-26,21.01,6.66,29.44,7.68,6.5,2.579,0.079,0.077,0.798,0.039
N16,2008-09-03,22.29,9.7,30.02,8.0,14.0,1.473,0.05,0.026,1.66,0.01
N16,2008-09-10,21.66,6.06,28.04,7.67,8.0,2.86,0.125,0.226,0.856,0.108
N16,2008-09-16,19.73,7.9,30.48,7.74,8.0,4.794,0.069,0.08,1.05,0.041
N16,2008-09-23,,,,,,,,,,
N16,2009-06-02,16.5,9.51,27.07,7.52,7.0,2.7,0.079,0.217,0.642,0.158
N16,2009-06-09,16.76,11.77,28.28,7.73,6.5,9.3,0.05,0.023,0.504,0.01
N16,2009-06-16,18.18,9.93,29.08,7.65,9.0,1.3,0.06,0.104,0.408,0.068
N16,2009-06-23,18.21,9.68,29.05,7.54,11.0,1.0,0.042,0.058,0.298,0.033
N16,2009-06-30,19.9,7.7,27.94,7.54,13.0,2.9,0.058,0.06,0.39,0.042
N16,2009-07-07,16.81,9.03,29.48,7.81,6.0,11.5,0.051,0.027,0.545,0.01
N16,2009-07-14,19.03,6.55,28.54,7.6,12.0,0.84,0.068,0.069,0.38,0.029
N16,2009-07-28,22.8,6.6,28.84,7.51,10.5,4.2,0.067,0.076,0.397,0.022
N16,2009-08-04,22.98,6.55,26.83,7.85,9.5,3.6,0.08,0.128,0.54,0.064
N16,2009-08-11,22.01,7.96,27.46,7.99,7.0,14.8,0.083,0.058,0.536,0.01
N16,2009-08-18,22.58,6.05,29.45,7.8,12.0,1.3,0.056,0.084,0.517,0.022
N16,2009-08-27,19.65,4.78,30.74,7.61,10.0,4.3,0.071,0.078,0.689,0.02
N16,2009-09-02,22.54,5.54,28.36,7.73,12.0,2.3,0.09,0.199,0.721,0.064
N16,2009-09-09,,,,,,,,,,
N16,2009-09-15,21.01,6.4,28.22,7.59,8.0,1.8,0.102,0.296,0.738,0.132
N16,2009-09-22,20.37,9.25,29.86,7.89,7.5,2.8,0.05,0.02,1.54,0.024
N16,2010-06-02,,,,,,,,,,
N16,2010-06-08,15.79,8.86,29.59,7.9,9.0,5.0,0.065,0.032,0.393,0.022
N16,2010-06-15,18.41,8.84,30.46,7.97,8.5,3.3,0.031,0.01,0.211,0.01
N16,2010-06-22,19.92,8.41,29.96,7.94,6.5,1.7,0.07,0.036,0.149,0.03
N16,2010-06-29,21.75,8.82,29.8,7.98,11.0,5.3,0.058,0.014,0.273,0.01
N16,2010-07-07,17.94,8.26,30.52,7.8,10.0,0.7,0.073,0.034,0.469,0.012
N16,2010-07-13,25.12,7.7,30.63,8.02,5.0,1.1,0.058,0.01,0.325,0.01
N16,2010-07-20,22.32,7.06,30.33,7.78,6.0,8.4,0.073,0.057,0.698,0.032
N16,2010-07-27,20.66,7.9,29.49,7.71,5.0,9.4,0.087,0.035,0.612,0.032
N16,2010-08-03,21.59,8.1,30.5,7.74,5.0,10.9,0.031,0.019,0.088,0.025
N16,2010-08-10,19.87,7.05,30.78,7.73,7.0,1.5,0.058,0.022,0.618,0.01
N16,2010-08-24,,,,,,,,,,
N16,2010-08-31,22.71,8.02,30.23,8.24,4.5,15.5,0.066,0.01,1.02,0.014
N16,2010-09-08,20.53,6.37,30.7,7.88,5.0,16.3,0.08,0.035,1.33,0.016
N16,2010-09-14,19.33,8.4,31.27,7.8,12.0,9.6,0.031,0.01,1.28,0.01
N16,2010-09-21,,,,,,,,,,
N16,2010-09-29,,,,,,,,,,
N16,2011-06-01,18.52,9.04,25.69,7.8,5.0,11.3,0.06,0.051,0.434,0.107
N16,2011-06-07,16.38,9.15,28.69,7.76,13.0,3.8,0.025,0.016,0.381,0.01
N16,2011-06-14,,,,,,,,,,
N16,2011-06-21,19.69,8.84,28.66,7.81,7.0,5.7,0.488,0.021,1.3,0.032
N16,2011-06-27,21.73,7.67,28.66,7.79,10.0,5.0,0.052,0.06,0.531,0.04
N16,2011-07-06,20.68,8.18,29.2,7.74,8.0,6.6,0.065,0.034,0.427,0.01
N16,2011-07-13,22.29,6.7,29.06,7.75,7.0,4.1,0.128,0.086,0.767,0.027
N16,2011-07-19,19.25,7.81,30.11,7.79,8.5,4.8,0.08,0.015,0.634,0.01
N16,2011-08-03,24.15,7.83,30.11,7.77,12.0,2.0,0.128,0.01,0.055,0.01
N16,2011-08-11,24.11,6.35,28.8,7.66,6.0,12.9,0.475,0.172,0.139,0.05
N16,2011-08-17,21.92,7.22,28.85,7.67,3.5,6.2,0.364,0.058,0.066,0.01
N16,2011-08-24,22.44,5.67,25.3,7.39,4.5,7.6,0.656,0.242,0.161,0.146
N16,2011-09-01,22.0,7.44,23.14,7.66,3.0,11.5,0.086,0.1,0.536,0.128
N16,2011-09-08,,,,,,,,,,
N16,2011-09-14,21.3,6.7,26.09,7.6,2.0,3.9,0.108,0.127,0.539,0.074
N16,2011-09-21,19.62,6.97,28.35,7.65,11.0,4.5,0.066,0.062,0.285,0.04
N16,2011-09-28,,,,,,,,,,
N16,2012-06-06,17.99,7.82,30.38,7.7,7.0,1.3,0.051,0.048,0.411,0.03
N16,2012-06-13,,,,,,,,,,
N16,2012-06-20,21.13,7.64,29.58,7.78,8.0,0.6,0.071,0.032,0.522,0.022
N16,2012-06-27,,6.9,,7.77,11.0,0.1,0.092,0.026,0.275,0.01
N16,2012-07-05,19.34,6.47,30.78,7.83,12.0,0.2,0.043,0.015,0.079,0.011
N16,2012-07-11,21.79,8.1,30.47,8.0,6.0,5.2,0.049,0.015,0.217,0.01
N16,2012-07-18,19.94,5.25,30.7,7.61,20.0,1.1,0.089,0.084,0.109,0.02
N16,2012-07-24,23.45,7.0,30.6,7.89,13.5,1.2,0.051,0.06,0.263,0.014
N16,2012-07-31,,,,,,,,,,
N16,2012-08-08,22.73,8.29,30.28,7.96,6.0,24.5,0.089,0.026,0.318,0.01
N16,2012-08-15,22.26,3.82,30.39,7.64,7.0,8.7,0.128,0.12,0.272,0.023
N16,2012-08-22,23.84,7.12,31.18,8.0,13.0,0.8,0.032,0.015,0.057,0.01
N16,2012-08-29,24.66,5.69,30.65,7.76,6.5,1.5,0.096,0.226,0.663,0.033
N16,2012-09-06,23.98,5.9,30.81,8.0,9.5,2.4,0.064,0.126,0.375,0.014
N16,2012-09-12,21.43,5.2,29.7,7.62,7.0,6.42,0.096,0.28,0.465,0.106
N16,2012-09-19,18.86,4.74,30.94,7.55,4.0,5.8,0.096,0.096,0.465,0.104
N16,2012-09-26,19.42,6.81,29.69,7.61,6.0,3.4,0.122,0.383,0.62,0.166
N16,2013-06-05,14.14,7.99,30.11,7.84,7.0,4.18,0.07,0.23,0.63,0.11
N16,2013-06-13,,,,,,,,,,
N16,2013-06-19,17.22,8.73,30.39,8.02,9.5,5.34,0.03,0.03,0.46,0.01
N16,2013-06-26,18.66,7.71,29.81,7.98,8.0,1.3,0.016,0.03,0.55,0.02
N16,2013-07-02,,,,,,,,,,
N16,2013-07-09,16.23,6.38,31.51,7.77,8.0,1.66,0.04,0.01,0.89,0.01
N16,2013-07-17,23.14,7.92,30.67,7.93,16.0,1.2,0.02,0.02,0.49,0.01
N16,2013-07-24,21.02,6.27,30.69,7.85,10.0,2.4,0.04,0.03,0.37,0.01
N16,2013-07-31,21.59,6.96,30.67,7.8,11.0,0.7,0.04,0.08,0.57,0.02
N16,2013-08-07,20.8,7.85,30.46,7.93,6.0,4.9,0.04,0.03,0.33,0.02
N16,2013-08-14,20.87,7.21,30.34,8.0,5.0,7.2,0.03,0.04,0.52,0.03
N16,2013-08-21,19.78,5.13,30.84,7.73,5.0,7.6,0.05,0.17,0.5,0.03
N16,2013-08-28,20.9,7.35,30.34,7.92,4.0,14.3,0.07,0.06,0.35,0.03
N16,2013-09-05,20.62,6.29,29.18,7.73,7.0,6.0,0.07,0.16,0.59,0.1
N16,2013-09-11,19.85,6.97,30.4,7.84,9.0,4.4,0.04,0.08,0.55,0.06
N16,2013-09-18,17.62,7.19,31.24,7.83,5.0,5.5,0.07,0.15,0.55,0.04
N16,2014-06-03,16.83,8.98,29.38,7.85,4.0,8.5,0.111,0.057,0.112,0.024
N16,2014-06-17,18.53,8.95,30.05,7.98,9.5,7.5,0.142,0.03,0.067,0.01
N16,2014-06-24,20.3,8.6,27.74,7.93,7.0,7.9,0.184,0.072,0.118,0.059
N16,2014-07-01,19.61,5.7,29.21,7.92,9.0,3.5,0.112,0.055,0.157,0.034
N16,2014-07-09,20.23,6.29,28.42,7.63,4.0,6.2,0.169,0.181,0.118,0.081
N16,2014-07-16,,,,,,,,,,
N16,2014-07-22,22.59,7.09,27.79,7.78,6.0,6.1,0.084,0.14,0.984,0.108
N16,2014-07-29,20.91,6.55,30.16,7.8,12.0,4.6,0.149,0.039,0.358,0.052
N16,2014-08-05,22.54,6.65,29.22,7.83,11.0,4.14,0.117,0.138,0.178,0.042
N16,2014-08-19,21.23,7.45,29.83,7.88,5.5,11.8,0.076,0.089,0.132,0.054
N16,2014-08-26,23.38,7.64,30.03,8.16,8.0,6.5,0.094,0.047,0.448,0.003
N16,2014-09-03,22.31,4.67,30.24,7.76,11.5,4.33,0.099,0.059,0.367,0.026
N16,2014-09-09,,,,,,,,,,
N16,2014-09-16,20.96,5.84,30.11,7.8,9.5,2.72,0.061,0.153,0.183,0.054
N16,2014-09-23,20.24,6.79,30.32,7.91,9.0,3.8,0.064,0.082,0.28,0.049
N16,2014-09-30,19.68,6.04,31.16,7.91,14.0,2.85,0.065,0.126,0.143,0.032
N16,2015-06-02,,,,,,,,,,
N16,2015-06-11,17.71,8.26,30.17,7.79,4.5,6.86,0.074,0.163,0.575,0.024
N16,2015-06-18,,,,,,,,,,
N16,2015-06-25,18.41,7.86,30.8,7.86,5.0,7.64,0.038,0.136,0.322,0.018
N16,2015-06-30,20.41,7.48,27.48,7.91,5.0,7.38,0.054,0.078,0.524,0.057
N16,2015-07-09,20.8,8.17,30.1,8.0,4.5,9.06,0.019,0.021,0.368,0.018
N16,2015-07-23,21.64,7.45,30.34,8.01,5.0,6.17,0.081,0.031,0.504,0.018
N16,2015-07-28,23.22,6.1,29.18,7.81,3.0,19.4,0.141,0.09,0.597,0.018
N16,2015-08-06,19.59,6.38,31.63,7.68,7.0,6.1,0.019,0.169,0.321,0.018
N16,2015-08-12,23.56,6.52,30.35,7.89,3.0,16.7,0.082,0.402,0.57,0.028
N16,2015-08-20,24.2,8.84,30.22,8.0,3.0,20.0,0.019,0.035,0.267,0.02
N16,2015-08-25,24.9,5.36,29.98,7.78,3.0,7.65,0.058,0.146,0.514,0.036
N16,2015-09-03,24.75,8.14,30.91,8.06,3.0,3.81,0.041,0.024,0.509,0.018
N16,2015-09-09,24.85,7.97,30.27,8.0,2.5,16.3,0.073,0.029,0.551,0.032
N16,2015-09-17,21.85,6.4,30.52,7.91,4.0,10.0,0.042,0.021,0.227,0.06
N16,2015-09-24,,,,,,,,,,
N16,2016-06-02,,7.82,,8.0,,5.33,0.03,0.04,0.43,0.03
N16,2016-06-15,,8.75,,7.78,9.5,13.3,0.03,0.03,0.37,0.02
N16,2016-06-22,18.65,8.68,29.92,8.16,4.5,12.6,0.02,0.02,0.28,0.02
N16,2016-06-29,21.62,6.58,30.28,7.82,7.5,4.64,0.05,0.13,0.3,0.02
N16,2016-07-07,21.15,7.96,30.41,8.08,6.5,2.25,0.05,0.02,0.39,0.02
N16,2016-07-13,23.09,7.1,29.64,7.83,4.0,9.64,0.09,0.17,0.24,0.07
N16,2016-07-20,20.95,7.33,31.03,7.92,6.5,3.98,0.02,0.02,0.27,0.02
N16,2016-08-09,23.54,8.0,30.81,8.06,5.0,11.5,0.02,0.04,0.21,0.02
N16,2016-08-16,24.77,7.97,28.84,8.07,4.0,31.0,0.05,0.04,0.51,0.05
N16,2016-08-23,22.75,7.15,31.04,8.0,5.5,8.6,0.05,0.24,0.46,0.02
N16,2016-09-08,23.31,6.57,31.07,8.03,3.0,10.8,0.06,0.08,0.53,0.02
N16,2016-09-14,22.48,7.09,30.48,8.04,5.5,14.9,0.04,0.03,0.49,0.05
N16,2016-09-21,21.94,6.66,30.85,8.01,8.0,9.16,0.03,0.11,0.35,0.05
N16,2017-06-07,,,,,,,,,,
N16,2017-06-14,16.4,7.68,29.5,8.08,6.0,11.2,0.049,0.06,0.371,0.019
N16,2017-06-21,,,,,,,,,,
N16,2017-06-28,18.75,8.23,30.69,8.17,10.0,4.14,0.019,0.021,0.344,0.018
N16,2017-07-12,21.98,8.56,30.6,8.15,4.0,7.0,0.041,0.077,0.292,0.018
N16,2017-07-19,24.05,8.82,27.6,8.06,4.0,13.8,0.052,0.057,0.643,0.055
N16,2017-07-26,22.76,7.47,30.35,8.14,4.0,7.41,0.025,0.033,0.199,0.018
