Sampling Location,Sample Date,Top Sample Temperature (ºC),Winkler Method Top Dissolved Oxygen (mg/L),Top Salinity  (psu),Top PH,Secchi Depth (ft),Top Active Chlorophyll 'A' (µg/L),Total Phosphorus(mg/L),Top Ammonium (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Top Nitrate/Nitrite (mg/L)
J5,2000-08-22,22.7334,9.99,26.6452,7.62,6.0,35.87,0.252,0.386,1.347,0.246
J5,2000-08-29,23.6075,10.29,26.3166,7.72,3.0,69.01,0.24,0.085,1.106,0.243
J5,2000-09-06,22.3907,8.64,26.1831,7.67,4.5,37.66,0.241,0.254,1.23,0.169
J5,2000-09-21,,6.0,,7.28,6.0,10.74,0.222,0.439,0.924,0.231
J5,2001-06-11,,9.5,,8.19,4.0,42.0,0.186,0.152,1.563,0.321
J5,2001-06-19,,7.0,,7.93,4.0,50.0,0.229,0.193,1.331,0.269
J5,2001-07-16,21.9868,8.4,27.7622,8.46,2.5,58.8,0.559,0.059,2.32,0.047
J5,2001-07-23,24.1923,,27.38,7.8,4.0,23.16,0.331,0.35,1.38,0.142
J5,2001-07-30,,6.5,,7.83,3.5,38.4,0.196,0.186,1.13,0.131
J5,2001-08-07,25.7769,7.1,27.9044,7.91,3.5,47.7,0.31,0.192,1.52,0.19
J5,2001-08-14,25.3547,4.0,28.1036,7.51,3.5,20.2,0.331,0.646,1.68,0.124
J5,2001-09-17,,5.2,,7.83,3.5,9.18,0.303,0.504,1.6,0.255
J5,2001-09-26,20.9556,7.2,25.5423,7.95,3.5,13.3,0.253,0.414,1.78,0.309
J5,2002-06-04,,11.45,,8.29,3.5,79.0,0.074,0.019,1.09,0.007
J5,2002-06-11,,10.4,,8.37,3.0,34.7,0.248,0.014,2.03,0.054
J5,2002-06-17,,6.08,,7.98,4.0,,0.292,0.206,1.09,0.138
J5,2002-06-25,,8.91,,8.08,3.0,39.8,0.274,0.104,1.0,0.134
J5,2002-07-02,,10.14,,8.15,3.5,33.94,0.274,0.017,1.07,0.081
J5,2002-07-09,,9.57,,8.22,3.5,74.8,0.461,0.063,2.11,0.232
J5,2002-07-16,24.03,5.96,30.96,7.95,5.5,20.05,0.292,0.212,1.04,0.088
J5,2002-07-23,26.46,10.98,30.39,8.4,3.0,117.2,0.332,0.02,1.08,0.031
J5,2002-07-30,25.77,6.83,31.18,7.84,4.0,30.5,0.33,0.263,1.21,0.092
J5,2002-08-06,26.35,6.83,30.95,7.88,2.5,72.4,0.358,0.146,1.34,0.087
J5,2002-08-20,26.34,5.86,30.69,7.67,2.5,43.0,0.355,0.478,1.87,0.214
J5,2002-08-27,25.13,4.11,30.14,7.49,4.5,13.0,0.356,0.562,1.64,0.208
J5,2002-09-10,23.54,7.1,29.11,7.82,3.0,40.1,0.273,0.407,1.51,0.292
J5,2002-09-17,22.37,6.97,29.82,,3.5,29.56,0.271,0.415,1.54,0.284
J5,2002-09-24,22.83,8.66,29.72,8.02,2.5,36.72,0.286,0.34,1.66,0.304
J5,2003-06-03,,8.68,,7.71,5.0,25.48,0.19,0.7,1.59,0.66
J5,2003-06-11,17.78,9.83,26.8,8.11,4.0,31.68,0.12,0.18,1.17,0.61
J5,2003-06-17,20.28,12.03,25.73,8.14,3.0,62.24,0.14,0.01,1.13,0.23
J5,2003-07-01,24.11,18.07,26.02,8.8,3.0,60.1,0.238,0.012,1.5,0.04
J5,2003-07-08,25.31,8.42,28.79,8.17,4.0,23.08,0.241,0.089,0.87,0.051
J5,2003-07-15,,9.81,,8.02,3.5,53.92,0.272,0.087,1.02,0.102
J5,2003-07-22,,7.06,,7.52,4.0,28.12,0.256,0.139,1.13,0.124
J5,2003-07-29,,7.63,,8.14,3.0,56.88,0.28,0.108,0.928,0.063
J5,2003-08-12,,8.89,,7.83,3.0,69.0,0.34,0.16,2.8,0.16
J5,2003-08-20,,8.79,,8.08,2.5,30.0,0.23,0.06,1.22,0.15
J5,2003-08-26,,7.04,,7.94,4.0,37.08,0.27,0.2,1.42,0.12
J5,2003-09-02,,5.27,,7.45,5.0,9.7,0.198,0.38,1.53,0.116
J5,2003-09-09,,6.58,,7.53,4.0,20.0,0.284,0.578,2.08,0.238
J5,2003-09-16,,6.12,,7.55,4.0,11.88,0.246,0.487,1.61,0.306
J5,2003-09-23,,6.81,,7.7,3.5,17.82,0.254,0.67,2.17,0.382
J5,2003-09-30,,6.04,,7.27,4.0,10.302,0.226,0.64,1.54,0.382
J5,2004-06-01,18.82,6.45,24.14,7.84,5.0,13.4,0.216,0.29,1.18,0.315
J5,2004-06-08,19.44,7.59,24.96,7.48,5.0,13.2,0.21,0.292,1.1,0.306
J5,2004-06-15,21.18,10.34,24.87,8.48,4.0,84.2,0.4,0.015,3.88,0.261
J5,2004-06-22,22.0,6.2,24.5,8.06,3.5,42.1,0.285,0.124,1.5,0.046
J5,2004-06-29,21.72,10.86,25.09,8.61,3.0,57.7,0.252,0.004,0.97,0.016
J5,2004-07-07,23.74,7.76,25.32,8.34,4.0,30.6,0.25,0.043,1.04,0.069
J5,2004-07-13,22.26,5.37,25.71,7.75,4.0,18.6,0.31,0.186,0.89,0.076
J5,2004-07-20,24.17,6.82,25.01,8.19,3.5,44.6,0.288,0.166,1.16,0.178
J5,2004-07-27,23.05,5.96,25.81,7.42,4.0,43.8,0.244,0.276,1.12,0.154
J5,2004-08-10,23.11,6.96,25.37,7.95,3.5,36.9,0.207,0.154,1.01,0.153
J5,2004-08-17,24.01,6.87,22.55,7.68,3.0,55.5,0.308,0.238,1.31,0.162
J5,2004-08-24,23.76,8.06,24.68,8.04,3.0,49.0,0.202,0.07,1.17,0.182
J5,2004-08-31,25.46,6.67,23.25,8.03,3.5,49.6,0.256,0.189,1.33,0.164
J5,2004-09-14,23.3,5.64,23.18,7.61,3.5,32.0,0.263,0.414,1.56,0.284
J5,2004-09-21,20.45,7.12,23.94,7.81,4.0,15.1,0.221,0.622,1.48,0.356
J5,2004-09-28,21.68,5.87,23.81,7.68,4.0,16.1,0.214,0.458,1.48,0.392
J5,2005-06-01,16.92,7.99,25.99,7.89,4.0,6.12,0.116,0.326,0.74,0.187
J5,2005-06-07,20.87,10.64,24.95,7.91,3.0,25.8,0.267,0.215,0.99,0.248
J5,2005-06-14,23.64,14.91,25.67,8.56,3.0,124.85,0.184,0.012,1.05,0.014
J5,2005-06-21,21.74,12.82,25.71,8.58,3.5,55.52,0.2,0.003,0.77,0.006
J5,2005-06-28,22.51,5.92,27.23,7.74,7.0,3.89,0.156,0.166,0.68,0.046
J5,2005-07-06,24.46,5.86,26.12,7.84,4.0,12.8,0.216,0.136,0.9,0.067
J5,2005-07-12,24.7,10.33,25.71,8.07,4.0,47.76,0.242,0.048,0.7,0.129
J5,2005-07-21,27.52,5.49,24.83,7.56,3.5,44.88,0.31,0.213,1.34,0.156
J5,2005-07-27,26.21,6.68,27.0,7.74,5.0,33.4,0.178,0.108,0.83,0.09
J5,2005-08-03,26.63,7.94,26.38,7.98,2.5,69.76,0.263,0.024,1.02,0.029
J5,2005-08-16,26.4,4.34,26.55,7.59,3.0,40.16,0.3,0.34,1.5,0.124
J5,2005-08-23,25.84,6.77,27.26,7.66,2.5,41.77,0.262,0.386,1.29,0.144
J5,2005-08-30,25.19,8.78,27.71,7.91,3.5,51.5,0.234,0.146,1.29,0.207
J5,2005-09-07,24.09,8.33,27.29,7.94,,27.88,0.213,0.144,1.12,0.238
J5,2005-09-13,23.44,8.69,28.08,7.91,4.0,53.65,0.18,0.132,0.96,0.231
J5,2005-09-20,24.3,4.11,27.24,7.42,7.0,9.53,0.224,0.529,1.11,0.276
J5,2005-09-27,21.63,6.5,27.5,7.58,4.0,17.2,0.24,0.522,1.07,0.377
J5,2006-06-06,19.86,11.2,25.72,8.44,2.5,130.4,0.207,0.017,1.49,0.006
J5,2006-06-20,20.74,9.46,26.99,8.01,4.5,48.48,0.181,0.046,0.84,0.118
J5,2006-06-27,22.65,7.2,26.09,7.57,2.0,19.51,0.216,0.273,0.97,0.146
J5,2006-07-06,22.71,5.5,25.22,7.96,4.5,26.03,0.22,0.196,1.44,0.11
J5,2006-07-18,24.73,8.59,27.09,8.02,4.5,39.84,0.191,0.09,1.14,0.09
J5,2006-07-25,25.79,7.64,25.56,7.83,4.0,45.52,0.247,0.13,1.27,0.122
J5,2006-08-01,26.9,9.01,26.61,8.5,4.0,70.42,0.246,0.074,1.38,0.123
J5,2006-08-09,26.62,5.01,26.17,7.74,4.0,38.94,0.279,0.208,2.02,0.06
J5,2006-08-22,25.58,,26.72,7.82,4.0,29.12,0.23,0.366,1.39,0.206
J5,2006-08-29,23.16,4.77,27.17,7.5,5.0,11.64,0.232,0.578,1.47,0.227
J5,2006-09-06,21.15,7.08,26.27,7.45,5.0,12.46,0.223,0.776,2.34,0.34
J5,2006-09-12,20.83,7.02,27.52,7.69,5.0,16.08,0.17,0.533,2.26,0.332
J5,2006-09-19,21.76,7.6,26.37,7.67,3.0,37.08,0.22,0.632,1.0,0.448
J5,2006-09-26,20.53,7.47,26.29,7.66,6.0,22.5432,0.213,0.606,1.17,0.49
J5,2007-06-05,20.73,6.46,25.54,7.95,4.0,20.4,0.184,0.178,1.28,0.104
J5,2007-06-12,22.18,8.24,25.48,7.89,6.0,24.0,0.219,0.096,1.59,0.148
J5,2007-06-19,22.73,9.5,26.64,8.01,5.0,27.9,0.194,0.076,0.729,0.103
J5,2007-06-26,22.19,6.65,26.45,7.75,5.5,26.0,0.228,0.15,1.79,0.168
J5,2007-07-10,23.48,9.06,27.2,8.01,4.0,35.9,0.21,0.061,1.43,0.088
J5,2007-07-17,24.18,6.19,26.95,7.9,4.5,25.0,0.242,0.13,0.878,0.098
J5,2007-07-25,23.41,5.74,26.27,7.61,7.0,30.9,0.238,0.242,1.13,0.105
J5,2007-07-31,25.93,6.99,25.99,7.75,5.0,6.8,0.232,0.152,1.67,0.098
J5,2007-08-08,26.48,,27.2,7.38,4.5,16.9,0.232,0.337,0.992,0.168
J5,2007-08-14,25.75,6.69,25.77,7.56,3.0,30.5,0.271,0.372,1.53,0.182
J5,2007-08-22,20.68,3.92,26.9,7.33,7.0,2.7,0.251,0.706,1.39,0.255
J5,2007-08-28,23.85,,25.9,7.47,4.0,4.7,0.256,0.513,1.26,0.33
J5,2007-09-05,23.18,5.74,27.72,7.54,6.0,3.0,0.209,0.435,1.48,0.338
J5,2007-09-11,24.41,5.29,27.16,7.45,8.0,9.4,0.24,0.45,1.12,0.404
J5,2007-09-19,,6.99,,7.54,5.0,10.9,0.238,0.534,1.24,0.417
J5,2007-09-25,,7.22,,7.77,6.0,2.9,0.262,0.553,1.4,0.561
J5,2008-06-03,18.96,7.55,25.48,8.08,5.0,7.5,0.161,0.213,0.578,0.251
J5,2008-06-10,22.06,7.77,27.59,7.67,4.5,13.4,0.182,0.202,1.11,0.258
J5,2008-06-18,23.03,8.9,26.53,7.93,4.0,25.9,0.224,0.138,0.662,0.155
J5,2008-06-24,23.54,11.7,26.96,8.16,4.0,46.7,0.242,0.03,1.37,0.055
J5,2008-07-01,25.11,9.51,26.51,8.12,3.5,44.6,0.417,0.495,2.21,0.214
J5,2008-07-08,24.46,5.58,28.01,7.79,4.0,16.6,0.293,0.313,2.1,0.12
J5,2008-07-15,25.41,14.46,27.32,8.44,2.0,105.468,0.399,0.01,2.99,0.04
J5,2008-07-22,26.62,7.98,27.71,8.0,3.0,76.838,0.356,0.123,1.96,0.049
J5,2008-07-29,25.35,3.25,26.8,7.66,4.0,22.701,0.405,0.46,1.48,0.088
J5,2008-08-05,25.38,9.77,27.22,8.07,2.5,55.896,0.332,0.122,2.59,0.106
J5,2008-08-12,24.02,5.9,27.21,7.75,3.0,32.357,0.346,0.296,4.19,0.106
J5,2008-08-19,25.0,4.86,26.55,7.74,4.0,20.04,0.32,0.302,2.75,0.148
J5,2008-08-26,23.08,7.35,27.37,7.81,2.5,31.987,0.254,0.186,1.5,0.172
J5,2008-09-03,24.11,5.64,27.37,7.67,3.0,23.237,0.255,0.346,1.96,0.152
J5,2008-09-10,23.42,5.34,25.65,7.56,4.5,14.061,0.292,0.528,1.52,0.216
J5,2008-09-16,23.2,6.19,25.37,7.48,4.0,21.084,0.316,0.568,1.93,0.208
J5,2008-09-23,,8.31,,7.62,3.5,16.645,0.199,0.377,1.24,0.274
J5,2009-06-02,18.09,8.61,26.85,7.8,4.0,7.3,0.17,0.428,1.15,0.316
J5,2009-06-09,19.51,8.79,25.86,7.67,4.5,12.5,0.174,0.358,0.964,0.304
J5,2009-06-16,19.75,11.33,26.26,7.98,4.5,33.6,0.158,0.159,0.839,0.288
J5,2009-06-23,20.26,9.82,24.01,7.81,4.0,26.5,0.153,0.195,0.736,0.222
J5,2009-06-30,22.22,9.14,26.35,7.94,4.0,35.4,0.152,0.069,0.674,0.23
J5,2009-07-07,23.97,9.08,24.81,8.14,3.0,52.4,0.255,0.097,1.19,0.056
J5,2009-07-14,22.82,11.83,25.82,8.72,3.0,55.9,0.227,0.021,0.915,0.01
J5,2009-07-21,23.96,,25.04,8.42,3.5,51.6,0.296,0.028,1.01,0.014
J5,2009-07-28,24.76,7.9,26.67,7.7,4.0,22.8,0.231,0.074,0.714,0.084
J5,2009-08-04,26.07,7.24,25.07,7.89,3.5,46.3,0.342,0.171,1.23,0.102
J5,2009-08-11,27.02,9.86,24.68,8.08,2.0,73.5,0.359,0.319,1.98,0.16
J5,2009-08-18,27.17,10.55,25.15,8.14,1.5,106.9,0.338,0.076,1.42,0.065
J5,2009-08-27,26.05,10.12,26.76,8.24,2.0,117.8,0.232,0.011,1.51,0.03
J5,2009-09-02,24.2,5.91,25.73,7.57,2.5,47.1,0.466,0.565,1.69,0.143
J5,2009-09-09,22.9,4.95,26.41,7.35,3.5,24.0,0.32,0.634,2.32,0.228
J5,2009-09-15,21.56,7.29,26.49,7.46,3.5,23.7,0.314,0.756,1.82,0.334
J5,2009-09-22,20.56,6.36,27.37,7.48,4.5,15.3,0.196,0.598,1.93,0.307
J5,2009-09-29,19.35,6.43,26.94,7.51,4.0,8.6,0.244,0.794,2.89,0.428
J5,2010-06-02,21.96,10.74,26.95,8.14,3.5,41.0,0.201,0.063,0.849,0.153
J5,2010-06-08,21.58,7.94,27.42,8.3,4.0,38.7,0.283,0.094,1.076,0.133
J5,2010-06-15,21.39,7.6,27.29,8.0,3.0,38.2,0.282,0.16,0.342,0.169
J5,2010-06-22,23.78,6.6,28.0,7.94,4.0,22.7,0.279,0.09,0.657,0.171
J5,2010-06-29,26.74,10.37,27.62,8.3,2.5,59.4,0.298,0.03,0.986,0.046
J5,2010-07-07,25.31,7.11,28.24,8.07,4.0,6.1,0.296,0.081,0.945,0.097
J5,2010-07-20,27.14,4.05,28.53,7.59,4.5,14.6,0.284,0.206,0.957,0.186
J5,2010-07-27,27.09,5.74,27.49,7.59,3.5,44.8,0.364,0.212,1.385,0.2
J5,2010-08-03,24.5,6.49,28.56,7.66,3.0,40.6,0.221,0.086,0.466,0.202
J5,2010-08-10,26.52,3.94,28.11,7.51,3.5,22.3,0.337,0.208,1.318,0.154
J5,2010-08-24,23.75,6.8,27.35,7.45,4.0,12.3,0.299,0.537,0.913,0.356
J5,2010-08-31,26.38,10.24,26.97,8.31,1.5,68.9,0.328,0.048,2.41,0.487
J5,2010-09-08,23.79,6.13,27.35,7.8,2.0,24.2,0.281,0.221,1.6,0.406
J5,2010-09-14,20.39,,28.52,7.62,3.0,21.5,0.211,0.18,1.78,0.347
J5,2010-09-21,20.18,6.17,27.75,7.79,3.0,29.9,0.216,0.09,2.27,0.384
J5,2010-09-29,21.25,6.59,27.85,7.64,4.5,6.4,0.195,0.267,0.624,0.342
J5,2011-06-01,24.1,10.75,,8.04,2.5,31.0,0.179,0.133,1.25,0.251
J5,2011-06-07,20.88,13.97,24.97,8.48,3.0,49.6,0.174,0.031,1.009,0.01
J5,2011-06-14,21.41,5.04,25.38,7.77,5.0,9.4,0.223,0.322,0.791,0.102
J5,2011-06-21,23.29,6.6,25.83,7.77,4.0,21.0,0.689,0.182,1.72,0.195
J5,2011-06-27,23.79,8.66,25.84,7.95,2.0,46.0,0.286,0.052,1.31,0.168
J5,2011-07-06,25.06,6.62,26.52,7.63,4.0,25.5,0.213,0.113,0.506,0.117
J5,2011-07-13,26.36,6.13,26.34,8.01,4.0,13.0,0.306,0.166,1.27,0.086
J5,2011-07-19,25.95,7.99,26.95,7.95,2.5,32.9,0.274,0.059,1.12,0.077
J5,2011-08-03,26.78,5.26,27.24,7.7,4.5,29.7,0.732,0.21,0.299,0.106
J5,2011-08-11,26.21,8.97,27.21,7.98,2.5,70.0,0.756,0.06,0.284,0.129
J5,2011-08-17,24.76,4.41,23.92,7.57,3.0,29.1,1.29,0.4,0.277,0.159
J5,2011-08-24,23.94,4.09,24.84,7.39,2.5,11.9,0.899,0.389,0.273,0.257
J5,2011-09-01,23.82,4.64,21.59,7.39,4.0,11.8,0.236,0.636,1.32,0.272
J5,2011-09-08,22.05,7.52,21.59,7.28,4.5,24.5,0.235,0.703,1.28,0.353
J5,2011-09-14,23.68,7.12,21.0,7.48,4.0,24.5,0.264,0.51,1.18,0.447
J5,2011-09-21,19.99,5.44,22.75,7.51,5.5,24.5,0.222,0.366,1.0,0.407
J5,2011-09-28,22.14,7.57,22.68,7.52,4.0,24.5,0.174,0.292,0.658,0.398
J5,2012-06-06,20.61,6.66,26.31,7.62,6.0,11.8,0.214,0.182,0.954,0.204
J5,2012-06-13,20.87,6.96,27.03,7.65,4.0,23.4,0.179,0.096,0.512,0.146
J5,2012-06-20,22.56,9.88,26.05,8.07,4.0,13.2,0.096,0.024,0.741,0.014
J5,2012-06-27,22.72,8.95,25.71,8.1,2.5,1.9,0.275,0.046,1.144,0.096
J5,2012-07-05,25.48,7.7,26.1,7.97,2.5,1.3,0.228,0.037,0.659,0.056
J5,2012-07-11,26.3,,27.47,8.03,3.0,19.8,0.219,0.015,0.808,0.016
J5,2012-07-18,,,,,,,,,,
J5,2012-07-24,25.12,8.73,27.58,7.88,2.0,26.2,0.291,0.076,0.866,0.074
J5,2012-07-31,25.45,7.96,27.38,7.99,3.0,43.5,0.307,0.069,8.59,0.027
J5,2012-08-08,27.13,6.5,27.84,7.79,2.5,29.3,0.259,0.226,0.918,0.078
J5,2012-08-15,,,,,,,,,,
J5,2012-08-22,24.69,7.34,27.78,7.8,2.0,45.8,0.239,0.231,0.827,0.08
J5,2012-08-29,25.26,4.19,27.39,7.52,2.5,13.0,0.296,0.7,1.8,0.132
J5,2012-09-06,24.81,4.0,27.61,7.4,5.0,8.0,0.262,0.864,1.26,0.146
J5,2012-09-12,22.67,7.76,27.57,7.73,2.0,30.72,0.219,0.81,1.4,0.214
J5,2012-09-19,21.98,5.15,27.2,7.65,3.0,16.2,0.219,0.611,1.4,0.222
J5,2012-09-26,19.63,6.77,28.11,7.6,3.0,14.0,0.199,0.744,1.35,0.274
J5,2013-06-05,19.71,9.48,27.01,8.08,4.0,20.81,0.22,0.48,1.35,0.24
J5,2013-06-13,,,,,,,,,,
J5,2013-06-19,21.39,9.25,24.44,8.15,2.5,45.57,0.21,0.15,1.06,0.16
J5,2013-06-26,23.55,6.08,26.0,7.89,3.5,4.6,0.17,0.24,1.27,0.12
J5,2013-07-02,23.28,4.94,27.04,7.48,3.0,5.22,0.23,0.38,1.26,0.15
J5,2013-07-09,27.29,11.33,25.68,8.33,2.5,58.03,0.29,0.05,1.28,0.02
J5,2013-07-17,25.82,8.58,27.95,7.93,2.0,41.8,0.21,0.04,1.1,0.02
J5,2013-07-24,27.71,6.37,27.01,7.89,3.0,33.4,0.31,0.28,1.3,0.05
J5,2013-07-31,24.64,8.45,28.23,8.0,1.5,35.3,0.21,0.12,1.22,0.08
J5,2013-08-07,24.32,9.44,27.42,8.09,2.0,56.8,0.25,0.15,1.05,0.1
J5,2013-08-14,23.42,6.5,27.13,7.82,2.0,26.8,0.21,0.32,1.25,0.16
J5,2013-08-21,23.78,6.14,27.19,7.72,2.0,32.7,0.2,0.36,1.07,0.17
J5,2013-08-28,24.12,7.24,27.58,7.82,3.0,31.3,0.2,0.47,1.0,0.18
J5,2013-09-05,24.19,7.18,27.44,7.7,3.0,29.9,0.27,0.7,1.68,0.2
J5,2013-09-11,22.58,6.4,28.24,7.71,4.0,,0.19,0.53,1.35,0.21
J5,2013-09-18,20.07,7.85,27.88,7.75,3.0,25.8,0.22,0.62,1.33,0.22
J5,2013-09-25,18.65,8.72,27.83,7.86,5.0,27.9,0.17,0.52,0.93,0.22
J5,2014-06-03,19.49,10.3,25.52,8.08,4.0,32.6,0.199,0.116,0.679,0.12
J5,2014-06-17,21.81,9.3,25.48,7.96,3.0,38.9,0.304,0.158,0.75,0.154
J5,2014-06-24,22.98,10.03,26.17,8.15,3.5,31.0,0.3,0.094,0.724,0.043
J5,2014-07-01,24.4,4.68,26.51,7.81,3.5,16.0,0.336,0.542,0.862,0.136
J5,2014-07-09,24.19,6.94,26.28,7.66,3.0,26.7,0.391,0.304,0.851,0.196
J5,2014-07-16,24.19,5.65,25.93,7.74,3.0,29.0,0.291,0.184,1.4,0.111
J5,2014-07-22,24.2,7.69,26.7,7.87,3.0,15.8,0.223,0.118,1.25,0.087
J5,2014-07-29,24.88,8.95,26.39,8.05,3.0,92.3,0.36,0.03,1.29,0.077
J5,2014-08-05,24.21,8.07,27.56,7.92,2.5,66.0,0.155,0.598,0.612,0.089
J5,2014-08-19,23.22,7.83,27.6,7.84,4.0,39.5,0.206,0.264,0.632,0.118
J5,2014-08-26,24.29,8.8,26.72,8.09,2.0,50.8,0.343,0.833,0.982,0.116
J5,2014-09-03,25.28,7.94,27.5,8.23,2.5,55.8,0.267,0.026,0.758,0.043
J5,2014-09-09,23.93,5.36,27.21,7.88,4.0,23.3,0.274,0.205,0.671,0.047
J5,2014-09-16,20.84,5.4,28.04,7.56,5.0,8.28,0.22,0.483,0.657,0.147
J5,2014-09-23,20.23,5.81,27.35,7.57,4.0,15.7,0.277,0.443,1.037,0.175
J5,2014-09-30,20.35,5.28,27.93,7.54,5.0,11.2,0.269,0.543,0.772,0.237
