Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Top Salinity  (psu),Top Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Light Trans (% transparency) Top Sample,Top Sigma-T (kg/m3),Top Fluorometer (mg/m3),"CTD (conductivity, temperature, depth profiler) PH Top Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Top Total Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Total Phosphorus(mg/L),Top Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Top Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Top Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Top Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
J1,,7/15/1925,1:40 PM,,23.9,30,,30.45,,,,,,,,,,,,,E,,,,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,7/30/1925,1:25 PM,,21.7,30,,32.55,,,,,,,,,,,,,E,,,,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,8/18/1925,1:40 PM,,25.6,30,,29.75,,,,,,,,,,,,,SL,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,9/10/1925,1:20 PM,,23.3,30,,31.5,,,,,,,,,,,,,E,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,7/21/1926,12:35 PM,,26.1,30,,29.4,,,,,,,,,,,,,E,,,,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,8/10/1926,12:40 PM,,25,30,,32.2,,,,,,,,,,,,,W,,,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,8/31/1926,1:40 PM,,22.8,30,,31.5,,,,,,,,,,,,,E,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,6/29/1927,12:00 PM,,20.6,30,,31.5,,,,,,,,,,,,,W,,,,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J11,,6/15/1984,9:00 AM,,17.2,,,29.1,,,,,,,,,,,,,E,,,,8.7,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,-73.931333,40.581667,Permanent
J11,,6/15/1984,9:00 AM,,17.2,,,29.1,,,,,,,,,,,,,E,,,,8.7,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,-73.931333,40.581667,Permanent
J11,,7/13/1984,8:21 AM,,20,,,28.7,,,,,,,,,,,,,N,,,,6.7,,,5400,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,-73.931333,40.581667,Permanent
J11,,7/13/1984,8:21 AM,,20,,,28.7,,,,,,,,,,,,,N,,,,6.7,,,5400,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,-73.931333,40.581667,Permanent
J11,,7/20/1984,8:40 AM,,21.1,,,29.1,,,,,,,,,,,,,E,,,,7.9,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.931333,40.581667,Permanent
J11,,7/20/1984,8:40 AM,,21.1,,,29.1,,,,,,,,,,,,,E,,,,7.9,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.931333,40.581667,Permanent
J11,,8/3/1984,8:49 AM,,22.2,,,29.5,,,,,,,,,,,,,E,,,,6.3,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,-73.931333,40.581667,Permanent
J11,,8/3/1984,8:49 AM,,22.2,,,29.5,,,,,,,,,,,,,E,,,,6.3,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,-73.931333,40.581667,Permanent
J11,,8/10/1984,9:04 AM,,23.3,,,29.9,,,,,,,,,,,,,S,,,,7.6,,,230,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,-73.931333,40.581667,Permanent
J11,,8/10/1984,9:04 AM,,23.3,,,29.9,,,,,,,,,,,,,S,,,,7.6,,,230,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,-73.931333,40.581667,Permanent
J11,,8/17/1984,8:47 AM,,23.9,,,30.1,,,,,,,,,,,,,S,,,,6.9,,,200,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,-73.931333,40.581667,Permanent
J11,,8/17/1984,8:47 AM,,23.9,,,30.1,,,,,,,,,,,,,S,,,,6.9,,,200,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,-73.931333,40.581667,Permanent
J11,,8/24/1984,8:49 AM,,22.2,,,29.5,,,,,,,,,,,,,S,,,,5.5,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,-73.931333,40.581667,Permanent
J11,,8/24/1984,8:49 AM,,22.2,,,29.5,,,,,,,,,,,,,S,,,,5.5,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,-73.931333,40.581667,Permanent
J11,,8/31/1984,8:38 AM,,22.8,,,29.7,,,,,,,,,,,,,E,,,,5.9,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.931333,40.581667,Permanent
J11,,8/31/1984,8:38 AM,,22.8,,,29.7,,,,,,,,,,,,,E,,,,5.9,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.931333,40.581667,Permanent
J11,,9/7/1984,8:36 AM,,19.4,,,29.2,,,,,,,,,,,,,S,,,,6.8,,,330,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,-73.931333,40.581667,Permanent
J2,,6/30/1925,10:35 AM,,23.3,42,,29.4,,,,,,,,,,,,,SL,,,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/15/1925,2:55 PM,,24.4,42,,32.2,,,,,,,,,,,,,N,,,,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/30/1925,12:20 PM,,23.9,42,,32.55,,,,,,,,,,,,,N,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,8/18/1925,11:15 AM,,26.1,42,,30.1,,,,,,,,,,,,,S,,,,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,9/10/1925,11:35 AM,,23.3,42,,30.8,,,,,,,,,,,,,N,,,,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/21/1926,10:30 AM,,26.1,42,,29.4,,,,,,,,,,,,,S,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,8/10/1926,11:40 AM,,26.1,42,,33.6,,,,,,,,,,,,,SL,,,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,8/31/1926,11:20 AM,,22.2,42,,30.1,,,,,,,,,,,,,N,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,6/29/1927,11:10 AM,,21.1,42,,31.5,,,,,,,,,,,,,S,,,,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/20/1927,11:30 AM,,23.9,42,,31.15,,,,,,,,,,,,,SL,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/29/1927,11:10 AM,,25.6,42,,31.15,,,,,,,,,,,,,E,,,,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,8/19/1927,11:55 AM,,19.4,42,,31.15,,,,,,,,,,,,,N,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,6/21/1928,12:30 PM,,17.2,42,,29.75,,,,,,,,,,,,,N,,,,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/13/1928,11:55 AM,,24.4,42,,24.85,,,,,,,,,,,,,SL,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,6/20/1929,11:10 AM,,25,42,,31.5,,,,,,,,,,,,,S,,,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/10/1929,12:10 PM,,25.6,42,,31.15,,,,,,,,,,,,,N,,,,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J2,,7/16/1929,11:35 AM,,24.4,42,,31.5,,,,,,,,,,,,,SL,,,,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.885835,40.608055,Permanent
J3,,9/17/1909,12:10 PM,,19.5,,1,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,-73.882833,40.627,Permanent
J3,,9/17/1909,12:10 PM,,19.5,,1,,,,,,,,,,,,,,Ebb,,,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,9/17/1909,12:12 PM,,,,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,9/17/1909,12:12 PM,,,,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,6/30/1925,10:55 AM,,23.3,30,,27.3,,,,,,,,,,,,,NE,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,7/15/1925,2:10 PM,,25.6,30,,31.15,,,,,,,,,,,,,NE,,,,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,7/30/1925,12:45 PM,,23.3,30,,30.1,,,,,,,,,,,,,E,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,8/18/1925,11:40 AM,,26.1,30,,29.4,,,,,,,,,,,,,S,,,,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,9/10/1925,12:10 PM,,23.9,30,,29.75,,,,,,,,,,,,,E,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,7/21/1926,2:45 PM,,27.2,30,,29.75,,,,,,,,,,,,,NE,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,8/10/1926,12:15 PM,,26.1,30,,31.5,,,,,,,,,,,,,SW,,,,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,8/31/1926,11:40 AM,,22.8,30,,30.8,,,,,,,,,,,,,N,,,,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,6/29/1927,11:35 AM,,21.1,30,,30.1,,,,,,,,,,,,,S,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,7/20/1927,11:45 AM,,23.9,30,,30.45,,,,,,,,,,,,,E,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,7/29/1927,11:35 AM,,26.7,30,,30.1,,,,,,,,,,,,,S,,,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,8/19/1927,12:35 PM,,20,30,,29.75,,,,,,,,,,,,,E,,,,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J3,,6/21/1928,1:15 PM,,18.3,30,,28.7,,,,,,,,,,,,,SL,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.882833,40.627,Permanent
J5,,6/30/1909,1:10 PM,,26,,1,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,,,,,,,,,,-73.809,40.597667,Permanent
J5,,6/30/1909,1:10 PM,,26,,1,,,,,,,,,,,,,,Flood,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,9/8/1921,12:25 PM,,24,16,,32.55,,,,,,,,,,,,,E,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,6/22/1922,2:10 PM,,23.3,16,,28,,,,,,,,,,,,,E,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,9/1/1922,2:40 PM,,22.5,16,,30.45,,,,,,,,,,,,,E,,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,9/1/1922,3:00 PM,,22.5,16,,30.45,,,,,,,,,,,,,E,,,,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,9/5/1923,12:30 PM,,23.9,16,,31.15,,,,,,,,,,,,,E,,,,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,7/1/1924,11:45 AM,,22.2,16,,30.45,,,,,,,,,,,,,W,,,,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,7/25/1924,12:25 PM,,25,16,,32.2,,,,,,,,,,,,,E,,,,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,8/15/1924,2:45 PM,,23.3,16,,28.7,,,,,,,,,,,,,W,,,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,9/12/1924,2:30 PM,,18.3,16,,28.7,,,,,,,,,,,,,W,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,6/30/1925,1:30 PM,,23.9,16,,31.15,,,,,,,,,,,,,E,,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,7/15/1925,12:50 PM,,26.1,16,,30.45,,,,,,,,,,,,,E,,,,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,7/30/1925,1:50 PM,,23.9,16,,31.15,,,,,,,,,,,,,E,,,,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,8/18/1925,2:55 PM,,26.7,16,,28.7,,,,,,,,,,,,,W,,,,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,9/10/1925,2:30 PM,,23.9,16,,30.45,,,,,,,,,,,,,E,,,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J5,,7/21/1926,1:10 PM,,26.7,16,,28.7,,,,,,,,,,,,,E,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.809,40.597667,Permanent
J7,,8/16/1948,12:15 PM,,25,28,,26.6,,,,,,,,,,,,,S,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6,2,,,,,,-73.820833,40.645333,Permanent
J7,,9/2/1948,10:45 AM,,27.8,28,,26.95,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,3,1.6,2,,,,,,-73.820833,40.645333,Permanent
J7,,9/9/1948,10:45 AM,,23.9,28,,26.95,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,8,0.4,2,,,,,,-73.820833,40.645333,Permanent
J7,,9/14/1948,11:00 AM,,23.9,28,,25.9,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7,1,,,,,,-73.820833,40.645333,Permanent
J7,,9/16/1948,12:55 PM,,23.3,28,,28.35,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,3,0.2,2,,,,,,-73.820833,40.645333,Permanent
J7,,9/16/1948,1:00 PM,,22.2,28,,29.4,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08,1,,,,,,-73.820833,40.645333,Permanent
J7,,9/20/1948,,,21.1,28,,29.05,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1,,,,,,-73.820833,40.645333,Permanent
J7,,9/21/1948,12:30 PM,,21.7,28,,29.75,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,1.5,1,,,,,,-73.820833,40.645333,Permanent
J7,,6/13/1950,12:45 PM,,26.7,28,,26.25,,,,,,,,,,,,,S,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,1,,,,,,-73.820833,40.645333,Permanent
J7,,6/22/1950,12:35 PM,,22.2,28,,27.3,,,,,,,,,,,,,S,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,4,0.23,2,,,,,,-73.820833,40.645333,Permanent
J7,,7/20/1950,12:00 PM,,25,28,,26.6,,,,,,,,,,,,,N,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,5,0.07,1,,,,,,-73.820833,40.645333,Permanent
J7,,8/10/1950,11:45 AM,,26.1,28,,28.7,,,,,,,,,,,,,S,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.01,1,,,,,,-73.820833,40.645333,Permanent
J7,,8/17/1950,12:05 PM,,24.4,28,,30.8,,,,,,,,,,,,,N,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,4,0.03,1,,,,,,-73.820833,40.645333,Permanent
J7,,8/24/1950,11:25 AM,,25,28,,28.35,,,,,,,,,,,,,S,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,4,0.29,1,,,,,,-73.820833,40.645333,Permanent
J7,,8/31/1950,12:40 PM,,25.6,28,,26.6,,,,,,,,,,,,,S,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,4,1.5,3,,,,,,-73.820833,40.645333,Permanent
J7,,9/7/1950,11:50 AM,,23.9,28,,29.05,,,,,,,,,,,,,N,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,1,0.02,1,,,,,,-73.820833,40.645333,Permanent
J7,,9/14/1950,1:00 PM,,20,28,,27.65,,,,,,,,,,,,,S,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,2,1.3,2,,,,,,-73.820833,40.645333,Permanent
J8,,7/1/1909,11:35 AM,,25.5,,1,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,,,,,,,,,,-73.851167,40.642833,Permanent
J8,,7/1/1909,11:35 AM,,25.5,,1,,,,,,,,,,,,,,Ebb,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.851167,40.642833,Permanent
J8,,9/17/1909,2:15 PM,,19.5,,1,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,-73.851167,40.642833,Permanent
J8,,9/17/1909,2:15 PM,,19.5,,1,,,,,,,,,,,,,,Ebb,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.851167,40.642833,Permanent
J8,,6/15/1984,10:18 AM,,21.1,,,26.4,,,,,,,,,,,,,S,,,,7.1,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,-73.851167,40.642833,Permanent
J8,,6/15/1984,10:18 AM,,21.1,,,26.4,,,,,,,,,,,,,S,,,,7.1,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,-73.851167,40.642833,Permanent
J8,,7/13/1984,10:35 AM,,22.2,,,25.5,,,,,,,,,,,,,S,,,,8.4,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,-73.851167,40.642833,Permanent
J8,,7/13/1984,10:35 AM,,22.2,,,25.5,,,,,,,,,,,,,S,,,,8.4,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,-73.851167,40.642833,Permanent
J8,,7/20/1984,9:58 AM,,23.3,,,24.6,,,,,,,,,,,,,E,,,,5.7,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.851167,40.642833,Permanent
J8,,7/20/1984,9:58 AM,,23.3,,,24.6,,,,,,,,,,,,,E,,,,5.7,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.851167,40.642833,Permanent
J8,,8/3/1984,9:59 AM,,23.3,,,26.5,,,,,,,,,,,,,E,,,,3.8,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,-73.851167,40.642833,Permanent
J8,,8/3/1984,9:59 AM,,23.3,,,26.5,,,,,,,,,,,,,E,,,,3.8,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,-73.851167,40.642833,Permanent
J8,,8/10/1984,10:24 AM,,25,,,27.2,,,,,,,,,,,,,W,,,,7.3,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.851167,40.642833,Permanent
J8,,8/10/1984,10:24 AM,,25,,,27.2,,,,,,,,,,,,,W,,,,7.3,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,-73.851167,40.642833,Permanent
J8,,8/17/1984,9:54 AM,,25.6,,,27.4,,,,,,,,,,,,,E,,,,6.1,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,-73.851167,40.642833,Permanent
J8,,8/17/1984,9:54 AM,,25.6,,,27.4,,,,,,,,,,,,,E,,,,6.1,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,-73.851167,40.642833,Permanent
J8,,8/24/1984,10:03 AM,,23.3,,,27.2,,,,,,,,,,,,,W,,,,4.4,,,4600,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,-73.851167,40.642833,Permanent
